388,扐,5,le4,le405
389,扔,5,reng1,reng105
390,去,5,qu4,qu405
391,払,5,fu2,fu205
392,甘,5,gan1,gan105
393,艼,5,ting1,ting105
394,世,5,shi4,shi405
395,丗,5,shi4,shi405
396,卌,5,xi4,xi405
397,艾,5,ai4,ai405
398,艽,5,jiao1,jiao105
399,芁,5,jiao1,jiao105
400,古,5,gu3,gu305
401,节,5,jie2,jie205
402,艻,5,le4,le405
403,艿,5,nai3,nai305
404,芀,5,tiao2,tiao205
405,本,5,ben3,ben305
406,术,5,shu4,shu405
407,札,5,zha2,zha205
408,朰,5,zzzzzz5,zzzzzz599
409,朮,5,zhu2,zhu205
410,刌,5,cun3,cun305
411,辻,5,zzzzzz5,zzzzzz599
412,可,5,ke3,ke305
413,叵,5,po3,po305
414,匝,5,za1,za105
415,丙,5,bing3,bing305
416,厈,5,an1,an105
417,圧,5,ya1,ya105
418,左,5,zuo3,zuo305
419,厉,5,li4,li405
420,丕,5,pi1,pi105
421,右,5,you4,you405
422,石,5,shi2,shi205
423,布,5,bu4,bu405
424,厇,5,zhe2,zhe205
425,夳,5,tai4,tai405
426,夲,5,ben3,ben305
427,夰,5,gao3,gao305
428,冭,5,tai4,tai405
429,夯,5,hang1,hang105
430,厺,5,qu4,qu405
431,戊,5,wu4,wu405
432,龙,5,long2,long205
433,犮,5,ba2,ba205
434,匛,5,jiu4,jiu405
435,平,5,ping2,ping205
436,灭,5,mie4,mie405
437,乬,5,zzzzzz5,zzzzzz599
438,巪,5,zzzzzz5,zzzzzz599
439,轧,5,ya4,ya405
440,东,5,dong1,dong105
441,匜,5,yi2,yi205
442,劢,5,mai4,mai405
443,戉,5,yue4,yue405
444,卡,5,ka3,ka305
445,仧,5,chang2,chang205
446,北,5,bei3,bei305
447,凸,5,tu1,tu105
448,占,5,zhan4,zhan405
449,歺,4,dai3,dai304
450,卢,5,lu2,lu205
451,业,5,ye4,ye405
452,旧,5,jiu4,jiu405
