stroke_index,,num_stroke,pinyin,pinyin_tone,pinyin_tone_stroke
29976,甘,5,gan,gan1,gan105
33404,艼,5,ting,ting1,ting105
19990,世,5,shi,shi4,shi405
19991,丗,5,shi,shi4,shi405
21324,卌,5,xi,xi4,xi405
33406,艾,5,ai,ai4,ai405
33405,艽,5,jiao,jiao1,jiao105
33409,芁,5,jiao,jiao1,jiao105
21476,古,5,gu,gu3,gu305
33410,节,5,jie,jie2,jie205
33403,艻,5,le,le4,le405
33407,艿,5,nai,nai3,nai305
33408,芀,5,tiao,tiao2,tiao205
26412,本,5,ben,ben3,ben305
26415,术,5,shu,shu4,shu405
26413,札,5,zha,zha2,zha205
26416,朰,5,zzzzzz,zzzzzz5,zzzzzz599
26414,朮,5,zhu,zhu2,zhu205
21004,刌,5,cun,cun3,cun305
36795,辻,5,zzzzzz,zzzzzz5,zzzzzz599
21487,可,5,ke,ke3,ke305
21493,叵,5,po,po3,po305
21277,匝,5,za,za1,za105
19993,丙,5,bing,bing3,bing305
21384,厈,5,an,an1,an105
22311,圧,5,ya,ya1,ya105
24038,左,5,zuo,zuo3,zuo305
21385,厉,5,li,li4,li405
19989,丕,5,pi,pi1,pi105
21491,右,5,you,you4,you405
30707,石,5,shi,shi2,shi205
24067,布,5,bu,bu4,bu405
21383,厇,5,zhe,zhe2,zhe205
22835,夳,5,tai,tai4,tai405
22834,夲,5,ben,ben3,ben305
22832,夰,5,gao,gao3,gao305
20909,冭,5,tai,tai4,tai405
22831,夯,5,hang,hang1,hang105
21434,厺,5,qu,qu4,qu405
25098,戊,5,wu,wu4,wu405
40857,龙,5,long,long2,long205
29358,犮,5,ba,ba2,ba205
21275,匛,5,jiu,jiu4,jiu405
24179,平,5,ping,ping2,ping205
28781,灭,5,mie,mie4,mie405
20076,乬,5,zzzzzz,zzzzzz5,zzzzzz599
24042,巪,5,zzzzzz,zzzzzz5,zzzzzz599
36711,轧,5,ya,ya4,ya405
19996,东,5,dong,dong1,dong105
21276,匜,5,yi,yi2,yi205
21154,劢,5,mai,mai4,mai405
25097,戉,5,yue,yue4,yue405
21345,卡,5,ka,ka3,ka305
20199,仧,5,chang,chang2,chang205
21271,北,5,bei,bei3,bei305
20984,凸,5,tu,tu1,tu105
21344,占,5,zhan,zhan4,zhan405
27514,歺,4,dai,dai3,dai304
21346,卢,5,lu,lu2,lu205
19994,业,5,ye,ye4,ye405
26087,旧,5,jiu,jiu4,jiu405
24069,帅,5,shuai,shuai4,shuai405
24402,归,5,gui,gui1,gui105
27706,氺,5,shui,shui3,shui305
19988,且,5,qie,qie3,qie305
26086,旦,5,dan,dan4,dan405
30446,目,5,mu,mu4,mu405
21486,叮,5,ding,ding1,ding105
21494,叶,5,ye,ye4,ye405
26353,曱,5,yue,yue1,yue105
30002,甲,5,jia,jia3,jia305
30003,申,5,shen,shen1,shen105
21495,号,5,hao,hao4,hao405
30005,电,5,dian,dian4,dian405
30000,田,5,tian,tian2,tian205
30001,由,5,you,you2,you205
21343,卟,5,bu,bu3,bu305
21482,只,5,zhi,zhi3,zhi305
21485,叭,5,ba,ba1,ba105
21490,史,5,shi,shi3,shi305
21498,叺,5,chi,chi3,chi305
22830,央,5,yang,yang1,yang105
20804,兄,5,xiong,xiong1,xiong105
21489,叱,5,chi,chi4,chi405
21501,叽,5,ji,ji1,ji105
21500,叼,5,diao,diao1,diao105
21481,叩,5,kou,kou4,kou405
21483,叫,5,jiao,jiao4,jiao405
21478,另,5,ling,ling4,ling405
21479,叧,5,gua,gua3,gua305
21480,叨,5,tao,tao1,tao105
21499,叻,5,le,le4,le405
21497,叹,5,tan,tan4,tan405
20119,亗,5,sui,sui4,sui405
20873,冉,5,ran,ran3,ran305
30004,甴,5,zha,zha2,zha205
24068,帄,5,ding,ding1,ding105
23669,屵,5,e,e4,e405
20874,冊,5,ce,ce4,ce405
30399,皿,5,min,min3,min305
32594,罒,5,gang,gang1,gang105
20875,冋,5,jiong,jiong1,jiong105
20985,凹,5,ao,ao1,ao105
37014,邖,5,shan,shan1,shan105
23668,屴,5,li,li4,li405
23670,屶,5,zzzzzz,zzzzzz5,zzzzzz599
23671,屷,5,zzzzzz,zzzzzz5,zzzzzz599
22234,囚,5,qiu,qiu2,qiu205
22235,四,5,si,si4,si405
22233,囙,5,yin,yin1,yin105
22232,囘,6,hui,hui2,hui206
20878,冎,5,gua,gua3,gua305
22236,囜,5,nin,nin2,nin205
38021,钅,5,jin,jin1,jin105
29581,玍,5,ga,ga3,ga305
29983,生,5,sheng,sheng1,sheng105
22833,失,5,shi,shi1,shi105
30690,矢,5,shi,shi3,shi305
27669,氕,5,pie,pie1,pie105
20045,乍,5,zha,zha4,zha405
